type,ID,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula
5,3,5009408,68294058,85064649,1322676592,-10184,3112,12828,nan
5,4,10196417,68295792,85106903,1322676592,-3692,-664,16408,nan
6,2,607272,68296165,85066147,1322676592,nan,nan,nan,32047
5,3,5012101,68296750,85067341,1322676592,-10100,3064,12716,nan
5,4,10199096,68298472,85109583,1322676592,-3680,-644,16336,nan
6,2,609988,68298879,85068862,1322676592,nan,nan,nan,32067
5,3,5014794,68299443,85070034,1322676592,-10148,3088,12728,nan
5,4,10201775,68301151,85112262,1322676592,-3708,-656,16344,nan
6,2,612704,68301593,85071578,1322676592,nan,nan,nan,32099
5,3,5017486,68302136,85072727,1322676592,-10156,3132,12696,nan
5,4,10204454,68303831,85114941,1322676592,-3744,-632,16368,nan
6,2,615419,68304309,85074294,1322676592,nan,nan,nan,32118
5,3,5020179,68304832,85075419,1322676592,-10144,3108,12708,nan
5,4,10207133,68306512,85117620,1322676592,-3724,-648,16344,nan
6,2,618135,68307025,85077009,1322676592,nan,nan,nan,32149
5,3,5022871,68307522,85078112,1322676592,-10144,3052,12664,nan
5,4,10209812,68309190,85120299,1322676592,-3736,-640,16268,nan
6,2,620850,68309742,85079725,1322676592,nan,nan,nan,32175
5,3,5025564,68310215,85080804,1322676592,-10160,3076,12668,nan
5,4,10212491,68311868,85122978,1322676592,-3772,-636,16368,nan
6,2,623566,68312457,85082440,1322676592,nan,nan,nan,32206
5,3,5028256,68312907,85083497,1322676592,-10200,3088,12712,nan
5,4,10215171,68314548,85125657,1322676592,-3740,-680,16420,nan
6,2,626281,68315171,85085156,1322676592,nan,nan,nan,32217
5,3,5030949,68315599,85086189,1322676592,-10172,2976,12604,nan
5,4,10217850,68317228,85128337,1322676592,-3716,-668,16228,nan
6,2,628997,68317888,85087871,1322676592,nan,nan,nan,32218
5,3,5033641,68318293,85088882,1322676593,-10236,3040,12740,nan
5,4,10220529,68319906,85131016,1322676593,-3676,-712,16416,nan
6,2,631712,68320604,85090587,1322676593,nan,nan,nan,32233
5,3,5036334,68320985,85091574,1322676593,-10224,2940,12632,nan
5,4,10223208,68322586,85133695,1322676593,-3660,-692,16380,nan
6,2,634428,68323321,85093302,1322676593,nan,nan,nan,32225
5,3,5039026,68323678,85094267,1322676593,-10284,2976,12748,nan
5,4,10225888,68325265,85136374,1322676593,-3692,-680,16400,nan
6,2,637143,68326036,85096018,1322676593,nan,nan,nan,32215
5,3,5041719,68326370,85096959,1322676593,-10236,2872,12660,nan
5,4,10228567,68327945,85139054,1322676593,-3680,-684,16300,nan
6,2,639859,68328750,85098733,1322676593,nan,nan,nan,32215
5,3,5044412,68329478,85099652,1322676593,-10264,2860,12644,nan
5,4,10231246,68330624,85141733,1322676593,-3688,-676,16352,nan
6,2,642575,68331471,85101449,1322676593,nan,nan,nan,32204
5,3,5047104,68331755,85102345,1322676593,-10276,2816,12620,nan
5,4,10233925,68333303,85144412,1322676593,-3696,-676,16384,nan
6,2,645290,68334182,85104165,1322676593,nan,nan,nan,32200
5,3,5049796,68334448,85105037,1322676593,-10304,2824,12640,nan
5,4,10236605,68335982,85147091,1322676593,-3696,-676,16336,nan
6,2,648006,68336900,85106880,1322676593,nan,nan,nan,32195
5,3,5052489,68337140,85107729,1322676593,-10304,2804,12588,nan
5,4,10239284,68338663,85149771,1322676593,-3716,-660,16380,nan
6,2,650721,68339614,85109596,1322676593,nan,nan,nan,32192
5,3,5055181,68339836,85110422,1322676593,-10296,2760,12628,nan
5,4,10241963,68341341,85152450,1322676593,-3692,-680,16348,nan
6,2,653437,68342331,85112311,1322676593,nan,nan,nan,32187
5,3,5057874,68342526,85113114,1322676593,-10300,2756,12544,nan
5,4,10244642,68344021,85155129,1322676593,-3704,-660,16284,nan
6,2,656152,68345046,85115027,1322676593,nan,nan,nan,32183
5,3,5060567,68345233,85115807,1322676593,-10352,2744,12676,nan
5,4,10247321,68346700,85157808,1322676593,-3688,-700,16432,nan
6,2,658868,68347763,85117742,1322676593,nan,nan,nan,32182
5,3,5063259,68347951,85118500,1322676593,-10312,2664,12612,nan
5,4,10250001,68349380,85160487,1322676593,-3660,-696,16352,nan
6,2,661584,68350477,85120458,1322676593,nan,nan,nan,32180
5,3,5065952,68350665,85121192,1322676593,-10364,2700,12708,nan
5,4,10252680,68352059,85163167,1322676594,-3704,-692,16400,nan
6,2,664299,68353193,85123174,1322676594,nan,nan,nan,32178
5,3,5068644,68353382,85123885,1322676594,-10312,2652,12592,nan
5,4,10255359,68354739,85165846,1322676594,-3672,-672,16320,nan
6,2,667015,68355909,85125889,1322676594,nan,nan,nan,32176
5,3,5071337,68356097,85126577,1322676594,-10360,2668,12660,nan
5,4,10258038,68357420,85168525,1322676594,-3684,-680,16356,nan
6,2,669730,68358624,85128605,1322676594,nan,nan,nan,32174
5,3,5074029,68358812,85129270,1322676594,-10368,2628,12576,nan
5,4,10260717,68360099,85171204,1322676594,-3688,-680,16340,nan
6,2,672446,68361343,85131320,1322676594,nan,nan,nan,32173
5,3,5076722,68361532,85131962,1322676594,-10376,2652,12612,nan
5,4,10263397,68362776,85173883,1322676594,-3696,-672,16364,nan
6,2,675162,68364056,85134036,1322676594,nan,nan,nan,32171
5,3,5079414,68364245,85134655,1322676594,-10380,2628,12620,nan
5,4,10266076,68365456,85176563,1322676594,-3708,-660,16376,nan
5,4,10268755,68368136,85179242,1322676594,-3688,-680,16324,nan
5,4,10271434,68370815,85181921,1322676594,-3684,-664,16300,nan
5,4,10274113,68373494,85184600,1322676594,-3676,-700,16444,nan
5,4,10276792,68376173,85187279,1322676594,-3644,-700,16344,nan
5,4,10279472,68378853,85189958,1322676594,-3696,-688,16424,nan
5,4,10282151,68381531,85192638,1322676594,-3656,-668,16308,nan
5,4,10284830,68384211,85195317,1322676595,-3660,-688,16368,nan
5,4,10287509,68386891,85197996,1322676595,-3680,-684,16340,nan
5,3,5103466,68388120,85137347,1322676595,-10388,2580,12616,nan
6,2,699450,68388347,85136752,1322676595,nan,nan,nan,32175
5,4,10290188,68389569,85200675,1322676595,-3680,-672,16356,nan
5,3,5106256,68390911,85161399,1322676595,-10428,2540,12628,nan
6,2,702394,68391290,85161040,1322676595,nan,nan,nan,32170
5,4,10292867,68392250,85203354,1322676595,-3672,-668,16360,nan
5,3,5108949,68393603,85164189,1322676595,-10416,2580,12632,nan
6,2,705110,68394008,85163984,1322676595,nan,nan,nan,32170
5,4,10295547,68394928,85206033,1322676595,-3676,-692,16336,nan
5,3,5111641,68396296,85166882,1322676595,-10416,2532,12576,nan
